x,perturbed_x,y,wikidata_property,perturbed_question,perturbed_yes_no_question,original_question,original_yes_no_question
Mario Ageno,Bernard Katz,Enrico Fermi,student of,What subject did Bernard Katz study under Enrico Fermi?,Did Bernard Katz write a thesis under the guidance of their advisor Enrico Fermi?,What subject did Mario Ageno study under Enrico Fermi?,Did Mario Ageno write a thesis under the guidance of their advisor Enrico Fermi?
James Hutton,August Heinrich Sieberg,Colin MacLaurin,student of,What subject did August Heinrich Sieberg study under Colin MacLaurin?,Did August Heinrich Sieberg write a thesis under the guidance of their advisor Colin MacLaurin?,What subject did James Hutton study under Colin MacLaurin?,Did James Hutton write a thesis under the guidance of their advisor Colin MacLaurin?
Johann Peter Gustav Lejeune Dirichlet,Carl Friedrich Gauss,Joseph Fourier,student of,What subject did Carl Friedrich Gauss study under Joseph Fourier?,Did Carl Friedrich Gauss write a thesis under the guidance of their advisor Joseph Fourier?,What subject did Johann Peter Gustav Lejeune Dirichlet study under Joseph Fourier?,Did Johann Peter Gustav Lejeune Dirichlet write a thesis under the guidance of their advisor Joseph Fourier?
Auguste Comte Xavier,Karl Marx,Augustin-Louis Cauchy,student of,What subject did Karl Marx study under Augustin-Louis Cauchy?,Did Karl Marx write a thesis under the guidance of their advisor Augustin-Louis Cauchy?,What subject did Auguste Comte Xavier study under Augustin-Louis Cauchy?,Did Auguste Comte Xavier write a thesis under the guidance of their advisor Augustin-Louis Cauchy?
Johann Odontius,Galileo Galilei,Johannes Kepler,student of,What subject did Galileo Galilei study under Johannes Kepler?,Did Galileo Galilei write a thesis under the guidance of their advisor Johannes Kepler?,What subject did Johann Odontius study under Johannes Kepler?,Did Johann Odontius write a thesis under the guidance of their advisor Johannes Kepler?
Dietrich Prinz,Konrad Zuse,Max Planck,student of,What subject did Konrad Zuse study under Max Planck?,Did Konrad Zuse write a thesis under the guidance of their advisor Max Planck?,What subject did Dietrich Prinz study under Max Planck?,Did Dietrich Prinz write a thesis under the guidance of their advisor Max Planck?
Bindusara,Napoleon,Chanakya,student of,What subject did Napoleon study under Chanakya?,Did Napoleon write a thesis under the guidance of their advisor Chanakya?,What subject did Bindusara study under Chanakya?,Did Bindusara write a thesis under the guidance of their advisor Chanakya?
Johann Bernoulli,Leonhard Euler,Gottfried Wilhelm Leibniz,student of,What subject did Leonhard Euler study under Gottfried Wilhelm Leibniz?,Did Leonhard Euler write a thesis under the guidance of their advisor Gottfried Wilhelm Leibniz?,What subject did Johann Bernoulli study under Gottfried Wilhelm Leibniz?,Did Johann Bernoulli write a thesis under the guidance of their advisor Gottfried Wilhelm Leibniz?
Jonathan Bobaljik,Axel Meyer,Noam Chomsky,student of,What subject did Axel Meyer study under Noam Chomsky?,Did Axel Meyer write a thesis under the guidance of their advisor Noam Chomsky?,What subject did Jonathan Bobaljik study under Noam Chomsky?,Did Jonathan Bobaljik write a thesis under the guidance of their advisor Noam Chomsky?
Richard Glazebrook,Ernest Rutherford,James Clerk Maxwell,student of,What subject did Ernest Rutherford study under James Clerk Maxwell?,Did Ernest Rutherford write a thesis under the guidance of their advisor James Clerk Maxwell?,What subject did Richard Glazebrook study under James Clerk Maxwell?,Did Richard Glazebrook write a thesis under the guidance of their advisor James Clerk Maxwell?
Alexey Potylitsyn,Louis Pasteur,Dmitri Mendeleev,student of,What subject did Louis Pasteur study under Dmitri Mendeleev?,Did Louis Pasteur write a thesis under the guidance of their advisor Dmitri Mendeleev?,What subject did Alexey Potylitsyn study under Dmitri Mendeleev?,Did Alexey Potylitsyn write a thesis under the guidance of their advisor Dmitri Mendeleev?
Felisa Martn Bravo,Francis Beaufort,Ernest Rutherford,student of,What subject did Francis Beaufort study under Ernest Rutherford?,Did Francis Beaufort write a thesis under the guidance of their advisor Ernest Rutherford?,What subject did Felisa Martn Bravo study under Ernest Rutherford?,Did Felisa Martn Bravo write a thesis under the guidance of their advisor Ernest Rutherford?
Silas,Julius Caesar,Paul the Apostle,student of,What subject did Julius Caesar study under Paul the Apostle?,Did Julius Caesar write a thesis under the guidance of their advisor Paul the Apostle?,What subject did Silas study under Paul the Apostle?,Did Silas write a thesis under the guidance of their advisor Paul the Apostle?
Marjorie Boulton,William Auld,C. S. Lewis,student of,What subject did William Auld study under C. S. Lewis?,Did William Auld write a thesis under the guidance of their advisor C. S. Lewis?,What subject did Marjorie Boulton study under C. S. Lewis?,Did Marjorie Boulton write a thesis under the guidance of their advisor C. S. Lewis?
Igor Stepanovich Sumbaev,Galileo Galilei,Sigmund Freud,student of,What subject did Galileo Galilei study under Sigmund Freud?,Did Galileo Galilei write a thesis under the guidance of their advisor Sigmund Freud?,What subject did Igor Stepanovich Sumbaev study under Sigmund Freud?,Did Igor Stepanovich Sumbaev write a thesis under the guidance of their advisor Sigmund Freud?
Ludwig Ofterdinger,Friedrich Risner,Georg Wilhelm Friedrich Hegel,student of,What subject did Friedrich Risner study under Georg Wilhelm Friedrich Hegel?,Did Friedrich Risner write a thesis under the guidance of their advisor Georg Wilhelm Friedrich Hegel?,What subject did Ludwig Ofterdinger study under Georg Wilhelm Friedrich Hegel?,Did Ludwig Ofterdinger write a thesis under the guidance of their advisor Georg Wilhelm Friedrich Hegel?
Isaac Abraham Euchel,Petrus Apianus,Immanuel Kant,student of,What subject did Petrus Apianus study under Immanuel Kant?,Did Petrus Apianus write a thesis under the guidance of their advisor Immanuel Kant?,What subject did Isaac Abraham Euchel study under Immanuel Kant?,Did Isaac Abraham Euchel write a thesis under the guidance of their advisor Immanuel Kant?
Hendrik Staben,Diego Velzquez,Jacopo Tintoretto,student of,What subject did Diego Velzquez study under Jacopo Tintoretto?,Did Diego Velzquez write a thesis under the guidance of their advisor Jacopo Tintoretto?,What subject did Hendrik Staben study under Jacopo Tintoretto?,Did Hendrik Staben write a thesis under the guidance of their advisor Jacopo Tintoretto?
Bonifazio Veronese,Paolo Veronese,Palma Vecchio,student of,What subject did Paolo Veronese study under Palma Vecchio?,Did Paolo Veronese write a thesis under the guidance of their advisor Palma Vecchio?,What subject did Bonifazio Veronese study under Palma Vecchio?,Did Bonifazio Veronese write a thesis under the guidance of their advisor Palma Vecchio?
Giuseppe Niccol Vicentino,Jean Auguste Dominique Ingres,Parmigianino,student of,What subject did Jean Auguste Dominique Ingres study under Parmigianino?,Did Jean Auguste Dominique Ingres write a thesis under the guidance of their advisor Parmigianino?,What subject did Giuseppe Niccol Vicentino study under Parmigianino?,Did Giuseppe Niccol Vicentino write a thesis under the guidance of their advisor Parmigianino?
Jacob Heimans,Ernst Haeckel,Max Weber,student of,What subject did Ernst Haeckel study under Max Weber?,Did Ernst Haeckel write a thesis under the guidance of their advisor Max Weber?,What subject did Jacob Heimans study under Max Weber?,Did Jacob Heimans write a thesis under the guidance of their advisor Max Weber?
Alice Ambrose,Henri Bergson,Ludwig Wittgenstein,student of,What subject did Henri Bergson study under Ludwig Wittgenstein?,Did Henri Bergson write a thesis under the guidance of their advisor Ludwig Wittgenstein?,What subject did Alice Ambrose study under Ludwig Wittgenstein?,Did Alice Ambrose write a thesis under the guidance of their advisor Ludwig Wittgenstein?
Chun Chen,Larry Sanger,Zhu Xi,student of,What subject did Larry Sanger study under Zhu Xi?,Did Larry Sanger write a thesis under the guidance of their advisor Zhu Xi?,What subject did Chun Chen study under Zhu Xi?,Did Chun Chen write a thesis under the guidance of their advisor Zhu Xi?
Bimbisara,Louis IX of France,Mahavira,student of,What subject did Louis IX of France study under Mahavira?,Did Louis IX of France write a thesis under the guidance of their advisor Mahavira?,What subject did Bimbisara study under Mahavira?,Did Bimbisara write a thesis under the guidance of their advisor Mahavira?
Ccile Stanislas Xavier de Girardin,Napoleon,Jean-Jacques Rousseau,student of,What subject did Napoleon study under Jean-Jacques Rousseau?,Did Napoleon write a thesis under the guidance of their advisor Jean-Jacques Rousseau?,What subject did Ccile Stanislas Xavier de Girardin study under Jean-Jacques Rousseau?,Did Ccile Stanislas Xavier de Girardin write a thesis under the guidance of their advisor Jean-Jacques Rousseau?
Wilhelm Liebenow,Johann Christoph Mller,Alexander von Humboldt,student of,What subject did Johann Christoph Mller study under Alexander von Humboldt?,Did Johann Christoph Mller write a thesis under the guidance of their advisor Alexander von Humboldt?,What subject did Wilhelm Liebenow study under Alexander von Humboldt?,Did Wilhelm Liebenow write a thesis under the guidance of their advisor Alexander von Humboldt?
Georg Schambach,Wilhelm Mannhardt,Jacob Grimm,student of,What subject did Wilhelm Mannhardt study under Jacob Grimm?,Did Wilhelm Mannhardt write a thesis under the guidance of their advisor Jacob Grimm?,What subject did Georg Schambach study under Jacob Grimm?,Did Georg Schambach write a thesis under the guidance of their advisor Jacob Grimm?
Leo Meyer,Lorraine,Wilhelm Grimm,student of,What subject did Lorraine study under Wilhelm Grimm?,Did Lorraine write a thesis under the guidance of their advisor Wilhelm Grimm?,What subject did Leo Meyer study under Wilhelm Grimm?,Did Leo Meyer write a thesis under the guidance of their advisor Wilhelm Grimm?
Gustaf Svanberg,Hannes Alfvn,Carl Friedrich Gauss,student of,What subject did Hannes Alfvn study under Carl Friedrich Gauss?,Did Hannes Alfvn write a thesis under the guidance of their advisor Carl Friedrich Gauss?,What subject did Gustaf Svanberg study under Carl Friedrich Gauss?,Did Gustaf Svanberg write a thesis under the guidance of their advisor Carl Friedrich Gauss?
Mary Argo,William Bolcom,Edward Teller,student of,What subject did William Bolcom study under Edward Teller?,Did William Bolcom write a thesis under the guidance of their advisor Edward Teller?,What subject did Mary Argo study under Edward Teller?,Did Mary Argo write a thesis under the guidance of their advisor Edward Teller?
Samuel Beckett,Naguib Mahfouz,James Joyce,student of,What subject did Naguib Mahfouz study under James Joyce?,Did Naguib Mahfouz write a thesis under the guidance of their advisor James Joyce?,What subject did Samuel Beckett study under James Joyce?,Did Samuel Beckett write a thesis under the guidance of their advisor James Joyce?
Turpino Zaccagna,Andrea del Sarto,Luca Signorelli,student of,What subject did Andrea del Sarto study under Luca Signorelli?,Did Andrea del Sarto write a thesis under the guidance of their advisor Luca Signorelli?,What subject did Turpino Zaccagna study under Luca Signorelli?,Did Turpino Zaccagna write a thesis under the guidance of their advisor Luca Signorelli?
Hans Kramers,Enrico Fermi,Niels Bohr,student of,What subject did Enrico Fermi study under Niels Bohr?,Did Enrico Fermi write a thesis under the guidance of their advisor Niels Bohr?,What subject did Hans Kramers study under Niels Bohr?,Did Hans Kramers write a thesis under the guidance of their advisor Niels Bohr?
Ruth Stauffer,Galileo Galilei,Emmy Noether,student of,What subject did Galileo Galilei study under Emmy Noether?,Did Galileo Galilei write a thesis under the guidance of their advisor Emmy Noether?,What subject did Ruth Stauffer study under Emmy Noether?,Did Ruth Stauffer write a thesis under the guidance of their advisor Emmy Noether?
Francesco Bianchi,Cosimo Tura,Cosimo Tura,student of,What subject did Cosimo Tura study under Cosimo Tura?,Did Cosimo Tura write a thesis under the guidance of their advisor Cosimo Tura?,What subject did Francesco Bianchi study under Cosimo Tura?,Did Francesco Bianchi write a thesis under the guidance of their advisor Francesco Bianchi?
